pubmed - medicine,
year,count
2018,428208
2017,374290
2016,358311
2015,324242
2014,280085
2013,210709
2012,187954
2011,173358
2010,159557
2009,150276
2008,146953
2007,140872
2006,136737
2005,129251
2004,122803
2003,116052
2002,111722
2001,109120
2000,105606
1999,99513
1998,94778
1997,90668
1996,85826
1995,84489
1994,81014
1993,78336
1992,75772
1991,73776
1990,71715
1989,62243
1988,59063
1987,31221
1986,13110
1985,12733
1984,11890
1983,12079
1982,11364
1981,10833
1980,11622
1979,13655
1978,13018
1977,12014
1976,12591
1975,12708
1974,12447
1973,11932
1972,11715
1971,11555
1970,11756
1969,11622
1968,10588
1967,10235
1966,9590
1965,21464
1964,35659
1963,21830
1962,10347
1961,9107
1960,8005
1959,6637
1958,5784
1957,6053
1956,5978
1955,6406
1954,6520
1953,7299
1952,7901
1951,8135
1950,7032
1949,3968
1948,4486
1947,4548
1946,4886
1945,1319
1944,269
1943,217
1942,222
1941,260
1940,233
1939,271
1938,283
1937,257
1936,247
1935,274
1934,215
1933,227
1932,210
1931,205
1930,195
1929,146
1928,164
1927,200
1926,155
1925,149
1924,142
1923,115
1922,88
1921,69
1920,130
1919,61
1918,48
1917,67
1916,55
1915,73
1914,68
1913,92
1912,77
1911,97
1910,61
1909,69
1908,51
1907,49
1906,62
1905,53
1904,60
1903,67
1902,57
1901,41
1900,66
1899,89
1898,78
1897,102
1896,83
1895,99
1894,83
1893,92
1892,69
1891,41
1890,24
1889,61
1888,82
1887,73
1886,18
1885,25
1884,24
1883,52
1882,60
1881,66
1880,66
1879,63
1878,53
1877,42
1876,44
1875,25
1874,34
1873,29
1872,39
1871,40
1870,46
1869,41
1868,41
1867,30
1866,24
1865,24
1864,20
1863,19
1862,28
1861,35
1860,44
1859,26
1858,31
1857,28
1856,27
1855,29
1854,16
1853,19
1852,31
1851,24
1850,13
1849,11
1848,22
1847,28
1846,20
1845,16
1844,13
1843,31
1842,53
1841,36
1840,23
1839,21
1838,23
1837,28
1836,22
1835,7
1834,6
1833,4
1832,4
1831,6
1830,3
1829,5
1828,3
1827,10
1826,11
1825,14
1824,16
1823,14
1822,21
1821,18
1820,15
1819,14
1818,15
1817,16
1816,15
1815,13
1814,4
1813,2
1812,3
1811,2
1810,4
1809,6
1808,7
1807,7
1806,7
1805,1
1804,4
1803,5
1802,7
1801,1
1800,5
1799,16
1797,3
1796,1
1789,1
101,1